pmid,title,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
29674649,Mud extrusion and ring-fault gas seepage – upward branching fluid discharge at a deep-sea mud volcano,Sulfate (3),-,-,Chloride (6),Carbonate (4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (22),Ethane (4),Propane (4),Butane (1),Pentane (1),-,-,-,-,-,-,Hydrogen (4),-
22170423,Viral infections stimulate the metabolism and shape prokaryotic assemblages in submarine mud volcanoes,-,-,-,-,Carbonate (2),-,-,-,-,-,-,-,-,-,-,Phosphate (2),-,-,-,-,Methane (11),-,-,-,-,-,-,-,-,-,-,-,-
22347218,A System for Incubations at High Gas Partial Pressure,Sulfate (6),-,-,-,-,-,-,-,-,Zinc (2),-,-,-,-,-,-,-,-,-,Sulfide (11),Methane (24),Ethane (1),Propane (1),-,-,Acetate (9),Formate (8),-,-,-,Nitrogen (3),Hydrogen (7),-
22882187,Anaerobic oxidation of methane in hypersaline cold seep sediments,-,-,-,Chloride (7),Carbonate (1),-,-,-,-,Zinc (2),-,-,-,-,-,-,-,-,-,-,Methane (39),-,-,-,-,Acetate (11),-,-,-,-,-,Hydrogen (4),-
20334908,Colonization of organic substrates deployed in deep-sea reducing habitats by symbiotic species and associated fauna,-,-,-,-,Carbonate (8),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (4),-,-,-,-,-,-,-,-,-,-,Hydrogen (1),-
17225386,Acoustic scattering from mud volcanoes and carbonate mounds,-,-,-,-,Carbonate (19),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (10),-,-,-,-,-,-,-,-,-,-,-,-
18378658,"Biogeochemistry and Community Composition of Iron- and Sulfur-Precipitating Microbial Mats at the Chefren Mud Volcano (Nile Deep Sea Fan, Eastern Mediterranean)",Sulfate (9),-,-,-,-,-,-,-,Iron (4),Zinc (1),-,-,-,-,-,-,-,-,Nitrate (2),Sulfide (29),Methane (13),-,-,-,-,Acetate (1),-,-,-,-,-,-,-
27103730,"Draft Genome Sequence of Methanoculleus sediminis S3FaT, a Hydrogenotrophic Methanogen Isolated from a Submarine Mud Volcano in Taiwan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (1),-,-,-,-,-,Formate (2),-,-,-,-,-,-
29163423,"Microbial Community Composition and Functional Capacity in a Terrestrial Ferruginous, Sulfate-Depleted Mud Volcano",Sulfate (22),Sodium (1),-,Chloride (3),-,-,-,-,Iron (11),-,-,-,-,-,Manganese (4),-,Ammonium (1),Nitrite (2),Nitrate (11),Sulfide (1),Methane (66),-,-,-,-,Acetate (6),Formate (1),-,-,-,Nitrogen (8),Hydrogen (1),-
22006301,"Early Archean serpentine mud volcanoes at Isua, Greenland, as a niche for early life",Sulfate (10),-,-,Chloride (2),Carbonate (12),-,-,-,Iron (1),Zinc (4),-,-,-,-,-,-,-,-,-,Sulfide (12),Methane (3),-,-,-,-,-,-,-,-,-,Nitrogen (1),Hydrogen (4),-
24614846,"Methanococcoides vulcani sp. nov., a marine methylotrophic methanogen that uses betaine, choline and N,N-dimethylethanolamine for methanogenesis, isolated from a mud volcano, and emended description of the genus Methanococcoides.",Sulfate (2),Sodium (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sulfide (2),Methane (1),-,-,-,-,Acetate (7),Formate (4),-,-,-,Nitrogen (3),Hydrogen (5),-
21976991,"Chemosymbiotic bivalves from the mud volcanoes of the Gulf of Cadiz, NE Atlantic, with descriptions of new species of Solemyidae, Lucinidae and Vesicomyidae",-,-,-,Chloride (1),Carbonate (5),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (4),-,-,-,-,-,-,-,-,-,-,Hydrogen (1),-
28151382,"Pyrobaculum igneiluti sp. nov., a novel anaerobic hyperthermophilic archaeon that reduces thiosulfate and ferric iron",Sulfate (3),Sodium (3),-,-,-,-,-,-,Iron (2),-,-,-,-,-,-,-,-,-,Nitrate (4),Sulfide (2),-,-,-,-,-,Acetate (2),-,-,-,-,-,-,-
17369343,Diversity and Abundance of Aerobic and Anaerobic Methane Oxidizers,Sulfate (8),Sodium (4),-,Chloride (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sulfide (4),Methane (23),-,-,-,-,-,-,-,-,-,-,-,-
27881974,The Microbiome and Occurrence of Methanotrophy in Carnivorous Sponges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ammonium (1),Nitrite (2),-,Sulfide (1),Methane (1),-,-,-,-,-,-,-,-,-,Nitrogen (3),Hydrogen (1),-
25393146,Stratified Community Responses to Methane and Sulfate Supplies in Mud Volcano Deposits: Insights from an In Vitro Experiment,Sulfate (15),-,-,Chloride (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sulfide (9),Methane (29),-,-,-,-,-,-,-,-,-,-,Hydrogen (1),Helium (1)
17431711,Use of 16S rRNA Gene Based Clone Libraries to Assess Microbial Communities Potentially Involved in Anaerobic Methane Oxidation in a Mediterranean Cold Seep,Sulfate (25),Sodium (2),-,-,Carbonate (1),-,-,-,-,-,-,-,-,-,-,Phosphate (1),Ammonium (2),Nitrite (1),Nitrate (3),Sulfide (28),Methane (22),-,-,-,-,Acetate (1),-,-,-,-,-,Hydrogen (2),-
25384354,Eruption of a deep-sea mud volcano triggers rapid sediment movement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23001649,"Choline and N,N-Dimethylethanolamine as Direct Substrates for Methanogens",Sulfate (11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ammonium (3),-,Nitrate (1),Sulfide (1),Methane (29),-,-,-,-,Acetate (4),Formate (1),-,-,-,Nitrogen (1),Hydrogen (1),Helium (1)
26637468,"Transcription, Signaling Receptor Activity, Oxidative Phosphorylation, and Fatty Acid Metabolism Mediate the Presence of Closely Related Species in Distinct Intertidal and Cold-Seep Habitats",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sulfide (9),Methane (2),-,-,-,-,-,-,-,-,-,Nitrogen (3),Hydrogen (2),-
26667806,"A chemosynthetic weed: the tubeworm Sclerolinum contortum is a bipolar, cosmopolitan species",-,-,-,-,-,-,-,-,Iron (1),-,-,-,-,-,Manganese (1),-,-,-,-,-,Methane (1),-,-,-,-,-,-,-,-,-,-,Hydrogen (1),-
27807343,Increased methane emissions from deep osmotic and buoyant convection beneath submarine seeps as climate warms,-,Sodium (2),-,Chloride (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (38),-,-,-,-,-,-,-,-,-,-,-,-
19770067,Structural characterization of hemoglobins from Monilifera and Frenulata tubeworms (Siboglinids): First discovery of giant hexagonal-bilayer hemoglobin in the former “Pogonophora” group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sulfide (3),-,-,-,-,-,Acetate (1),-,-,-,-,Nitrogen (1),-,-
22739492,Metabolic stratification driven by surface and subsurface interactions in a terrestrial mud volcano,Sulfate (52),-,-,Chloride (24),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sulfide (4),Methane (52),Ethane (3),Propane (3),-,-,Acetate (2),-,-,Argon (1),-,Nitrogen (2),-,-
28771029,Methane Seepage on Mars: Where to Look and Why,Sulfate (1),-,-,-,Carbonate (5),-,-,-,Iron (2),-,-,-,-,-,-,-,-,-,-,-,Methane (182),Ethane (1),Propane (1),Butane (1),-,Acetate (1),-,-,-,-,-,Hydrogen (2),-
28944134,CO2 flux from Javanese mud volcanism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (6),-,-,-,-,-,-,-,-,Co2 (3),-,-,-
26394007,Activity and interactions of methane seep microorganisms assessed by parallel transcription and FISH-NanoSIMS analyses,Sulfate (3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sulfide (4),Methane (50),-,-,-,-,-,-,-,Argon (2),-,Nitrogen (17),-,-
28676800,Atribacteria from the Subseafloor Sedimentary Biosphere Disperse to the Hydrosphere through Submarine Mud Volcanoes,Sulfate (6),Sodium (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (39),-,-,-,-,Acetate (2),-,-,-,-,-,-,-
15803662,"Novel archaeal macrocyclic diether core membrane lipids in a methane-derived carbonate crust from a mud volcano in the Sorokin Trough, NE Black Sea.",-,-,-,-,Carbonate (10),-,-,Copper (1),-,-,-,-,-,-,-,-,-,-,-,-,Methane (11),-,-,-,-,Acetate (1),-,-,-,-,-,Hydrogen (1),Helium (2)
21382146,"Methanogenic diversity and activity in hypersaline sediments of the centre of the Napoli mud volcano, Eastern Mediterranean Sea",Sulfate (5),-,-,Chloride (4),Carbonate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (25),Ethane (1),-,-,-,Acetate (7),-,-,-,-,Nitrogen (1),Hydrogen (1),Helium (1)
19622643,"Belliella pelovolcani sp. nov., isolated from a mud-volcano in Taiwan.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Phosphate (1),-,Nitrite (1),Nitrate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-
22458514,"Methanogenic activity and diversity in the centre of the Amsterdam Mud Volcano, Eastern Mediterranean Sea",Sulfate (1),-,Potassium (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (2),-,-,-,-,Acetate (1),-,-,-,-,-,-,Helium (1)
25059877,"Draft Genome Sequence of Lutibaculum baratangense Strain AMV1T, Isolated from a Mud Volcano in Andamans, India",-,-,-,-,-,-,-,Copper (1),-,Zinc (1),Cadmium (1),Arsenic (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20656812,"Cesiribacter andamanensis gen. nov., sp. nov., isolated from a soil sample from a mud volcano",-,Sodium (1),-,-,-,-,-,-,-,-,-,-,-,-,-,Phosphate (2),-,-,Nitrate (1),-,-,-,-,-,-,-,-,-,-,-,-,Hydrogen (1),-
22021575,"Lutibaculum baratangense gen. nov., sp. nov., a proteobacterium isolated from a mud volcano",-,Sodium (2),-,-,-,-,-,-,-,-,-,-,-,-,-,Phosphate (2),-,-,Nitrate (2),-,Methane (1),-,-,-,-,-,-,-,-,-,-,Hydrogen (1),-
23682146,"Draft Genome Sequence of Cesiribacter andamanensis Strain AMV16T, Isolated from a Soil Sample from a Mud Volcano in the Andaman Islands, India",-,-,-,-,-,-,-,Copper (1),-,-,-,Arsenic (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28708168,Portable laser spectrometer for airborne and ground-based remote sensing of geological CO_2 emissions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Co2 (7),-,-,-
29928689,Deep-biosphere methane production stimulated by geofluids in the Nankai accretionary complex,Sulfate (5),-,-,-,Carbonate (1),-,-,-,-,-,-,-,Lithium (1),-,-,-,-,-,-,-,Methane (47),Ethane (5),Propane (2),-,-,Acetate (25),Formate (1),-,-,Co2 (3),-,Hydrogen (7),-
30154496,In situ development of a methanotrophic microbiome in deep-sea sediments,Sulfate (14),-,-,-,-,-,-,-,-,Zinc (1),-,-,-,-,-,-,Ammonium (1),-,-,Sulfide (7),Methane (31),-,-,-,-,Acetate (1),-,-,-,-,-,-,-
30165492,Steep redox gradient and biogeochemical cycling driven by deeply sourced fluids and gases in a terrestrial mud volcano,Sulfate (47),-,-,Chloride (12),-,-,-,-,Iron (1),-,-,-,-,-,-,-,-,-,Nitrate (2),Sulfide (26),Methane (40),-,-,-,-,Acetate (2),-,-,-,-,Nitrogen (1),Hydrogen (2),-
31281306,Deep-Sourced Fluids From a Convergent Margin Host Distinct Subseafloor Microbial Communities That Change Upon Mud Flow Expulsion,Sulfate (25),Sodium (2),Potassium (7),Chloride (20),-,-,-,-,-,-,-,-,Lithium (8),Boron (8),-,-,-,Nitrite (1),-,Sulfide (1),Methane (47),-,-,-,-,Acetate (1),Formate (1),-,-,-,Nitrogen (2),Hydrogen (1),-
25908706,"Aquipuribacter nitratireducens sp. nov., isolated from a soil sample of a mud volcano",-,Sodium (1),-,-,-,-,-,-,-,-,-,-,-,-,-,Phosphate (1),-,-,Nitrate (4),-,-,-,-,-,-,-,-,-,-,-,-,Hydrogen (1),-
21335391,Archaeal Populations in Hypersaline Sediments Underlying Orange Microbial Mats in the Napoli Mud Volcano,Sulfate (7),Sodium (1),-,Chloride (5),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (1),-,-,-,-,-,-,-,-,-,-,-,-
27394559,Two new species of scale worms (Polychaeta: Aphroditiformia) from deep-sea habitats in the Gulf of Cadiz (NE Atlantic),-,-,-,-,Carbonate (3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (2),-,-,-,-,-,-,-,-,-,-,-,-
31772218,Discriminative biogeochemical signatures of methanotrophs in different chemosynthetic habitats at an active mud volcano in the Canadian Beaufort Sea,Sulfate (7),-,-,Chloride (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nitrate (1),Sulfide (3),Methane (26),-,-,-,-,-,-,-,-,-,-,-,-
31942015,Discharge of deeply rooted fluids from submarine mud volcanism in the Taiwan accretionary prism,Sulfate (8),Sodium (6),Potassium (4),Chloride (8),Carbonate (2),Magnesium (5),Calcium (3),-,-,-,-,-,Lithium (7),Boron (7),-,-,-,-,-,-,Methane (24),-,-,-,-,-,-,-,-,-,Nitrogen (1),Hydrogen (7),-
31988316,Mud volcanoes and the presence of PAHs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (1),-,-,-,-,-,-,"Phenanthrene (1), Pyrene (1)",-,-,-,Hydrogen (2),Helium (1)
28676800,Atribacteria from the Subseafloor Sedimentary Biosphere Disperse to the Hydrosphere through Submarine Mud Volcanoes,Sulfate (6),Sodium (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (39),-,-,-,-,Acetate (2),-,-,-,-,-,-,-
29163423,"Microbial Community Composition and Functional Capacity in a Terrestrial Ferruginous, Sulfate-Depleted Mud Volcano",Sulfate (22),Sodium (1),-,Chloride (3),-,-,-,-,Iron (11),-,-,-,-,-,Manganese (4),-,Ammonium (1),Nitrite (2),Nitrate (11),Sulfide (1),Methane (66),-,-,-,-,Acetate (6),Formate (1),-,-,-,Nitrogen (8),Hydrogen (1),-
25807542,The Unique Chemistry of Eastern Mediterranean Water Masses Selects for Distinct Microbial Communities by Depth,Sulfate (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,Phosphate (6),-,Nitrite (2),Nitrate (3),-,Methane (5),-,-,-,-,-,-,-,-,-,Nitrogen (19),Hydrogen (2),-
29928689,Deep-biosphere methane production stimulated by geofluids in the Nankai accretionary complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (12),-,-,-,-,Acetate (3),Formate (2),-,-,Co2 (1),-,Hydrogen (2),-
28944134,CO2 flux from Javanese mud volcanism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (6),-,-,-,-,-,-,-,-,Co2 (3),-,-,-
27881974,The Microbiome and Occurrence of Methanotrophy in Carnivorous Sponges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ammonium (1),Nitrite (2),-,Sulfide (1),Methane (1),-,-,-,-,-,-,-,-,-,Nitrogen (3),Hydrogen (1),-
25763031,Plant growth promoting capability and genetic diversity of bacteria isolated from mud volcano and lime cave of Andaman and Nicobar Islands,-,Sodium (4),Potassium (1),Chloride (1),Carbonate (1),-,-,-,Iron (4),-,-,-,-,-,-,Phosphate (4),-,Nitrite (1),Nitrate (3),-,Methane (1),-,-,-,-,-,-,-,-,-,Nitrogen (1),Hydrogen (1),-
31281306,Deep-Sourced Fluids From a Convergent Margin Host Distinct Subseafloor Microbial Communities That Change Upon Mud Flow Expulsion,Sulfate (25),Sodium (2),Potassium (7),Chloride (20),-,-,-,-,-,-,-,-,Lithium (8),Boron (8),-,-,-,Nitrite (1),-,Sulfide (1),Methane (47),-,-,-,-,Acetate (1),Formate (1),-,-,-,Nitrogen (2),Hydrogen (1),-
27103730,"Draft Genome Sequence of Methanoculleus sediminis S3FaT, a Hydrogenotrophic Methanogen Isolated from a Submarine Mud Volcano in Taiwan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Methane (1),-,-,-,-,-,Formate (2),-,-,-,-,-,-
